"YEAR","CASEID","METRO","FAMINCOME","HH_SIZE","HHTENURE","HH_CHILD","HOUSETYPE","HH_NUMKIDS","HH_NUMADULTS","PERNUM","LINENO","WT20","AGE","SEX","RACE","MARST","EDUCYRS","MULTJOBS","FULLPART","UHRSWORKT","EARNWEEK","SPOUSEPRES","KIDUND18","KIDUND1","COVIDTELEW","ACT_HHACT"
2020,20200706200835,4,13,3,1,0,1,0,3,1,1,1.8328328881318E7,63,1,100,1,111,0,1,45,1050.0,1,0,0,99,20
2020,20200706200836,2,16,6,1,1,1,4,2,1,1,8094820.119289,38,2,131,1,316,0,2,3,99999.99,1,1,0,99,145
2020,20200706200843,2,7,1,1,0,1,0,1,1,1,9427777.985352,85,1,100,3,321,99,99,9999,99999.99,3,0,0,99,40
2020,20200706200845,3,15,5,1,1,1,3,2,1,1,2087290.262016,38,1,100,1,316,0,1,40,1038.46,1,1,0,99,110
2020,20200706200847,2,15,4,1,1,1,2,2,1,1,1.5549592674289E7,49,1,100,1,316,0,1,40,1884.61,1,1,0,99,0
2020,20200706200850,2,5,1,1,0,1,0,1,1,1,7160627.053755,62,2,100,3,213,99,99,9999,99999.99,3,0,0,99,150
2020,20200706200858,2,6,3,1,1,1,1,2,1,1,4902243.287241,58,1,100,1,214,99,99,9999,99999.99,1,1,0,99,120
2020,20200706200862,1,16,3,1,0,1,0,3,1,1,2.175382704118E7,51,1,100,1,217,0,1,50,2884.61,1,0,0,99,30
2020,20200706200866,1,16,2,1,0,1,0,2,1,1,3141277.671065,60,1,131,1,217,0,1,40,2076.0,1,0,0,99,120
2020,20200706200874,2,9,2,2,0,1,0,2,1,1,6336341.602147,27,2,100,1,213,0,2,30,450.0,1,0,0,99,60
2020,20200706200875,4,11,5,1,1,1,4,1,1,1,1162557.188449,36,2,100,4,215,0,1,35,900.0,3,1,0,99,660
2020,20200706200879,1,14,1,1,0,1,0,1,1,1,3133189.621928,73,1,100,6,316,99,99,9999,99999.99,3,0,0,99,570
2020,20200706200882,2,6,1,2,0,1,0,1,1,1,7492413.702885,70,1,100,6,215,99,99,9999,99999.99,3,0,0,99,134
2020,20200706200883,1,12,2,2,0,1,0,2,1,1,3.2004653057138E7,29,2,100,6,217,0,1,40,1153.84,3,0,0,99,25
2020,20200706200889,2,14,2,1,0,1,0,2,1,1,4063058.352018,65,2,100,1,217,99,99,9999,99999.99,1,0,0,99,510
2020,20200706200893,1,8,1,1,0,1,0,1,1,1,7483393.272622,56,1,110,4,213,99,99,9999,99999.99,3,0,0,99,73
2020,20200706200897,3,9,1,1,0,1,0,1,1,1,2595369.942371,60,2,110,3,316,0,1,40,1076.92,3,0,0,99,320
